Tài liệu,Trạng thái,Trọng tâm cần nắm,Vòng,Vị trí,Ưu tiên
"VBHN 15/VBHN-VPQH (12/02/2026) – Cơ chế, chính sách đặc thù phát triển TP.HCM",Chưa học,Các nhóm cơ chế: đầu tư; tài chính – ngân sách; đô thị; tổ chức bộ máy,Vòng 1 – Kiến thức chung,Chung (mọi vị trí),Vừa
Hiến pháp 2013 (sửa đổi 2025 – VBHN 52/VBHN-VPQH ngày 21/7/2025),Chưa học,Các điều mới sửa đổi; quyền con người – công dân; bộ máy nhà nước,Vòng 1 – Kiến thức chung,Chung (mọi vị trí),Cao
Luật Tổ chức chính quyền địa phương 72/2025/QH15,Chưa học,"Mô hình 2 cấp; nhiệm vụ, quyền hạn HĐND/UBND phường; phân cấp, ủy quyền",Vòng 1 – Kiến thức chung,Chung (mọi vị trí),🔥 Rất cao
"Nghị quyết 57-NQ/TW (22/12/2024) – Khoa học công nghệ, đổi mới sáng tạo, chuyển đổi số",Chưa học,"Quan điểm chỉ đạo; mục tiêu 2030/2045; nhiệm vụ, giải pháp; chỉ tiêu con số",Vòng 1 – Kiến thức chung,Chung (mọi vị trí),Cao
Nghị quyết Đại hội đại biểu toàn quốc lần thứ XIV của Đảng,Chưa học,Chủ đề Đại hội; mục tiêu 2030 – tầm nhìn 2045; các đột phá chiến lược,Vòng 1 – Kiến thức chung,Chung (mọi vị trí),Cao
Nghị quyết 202/2025/QH15 – Sắp xếp đơn vị hành chính cấp tỉnh,Chưa học,Nguyên tắc và kết quả sắp xếp cấp tỉnh,Vòng 1 – Kiến thức chung,Chung (mọi vị trí),Vừa
Nghị quyết 1685/NQ-UBTVQH15 (16/6/2025) – Sắp xếp ĐVHC cấp xã của TP.HCM,Chưa học,Các phường mới của TP.HCM; chú ý phường Cát Lái,Vòng 1 – Kiến thức chung,Chung (mọi vị trí),Vừa
"Nghị định 259/2026/NĐ-CP – Tuyển dụng, sử dụng, quản lý viên chức",Chưa học,"Quy trình thi 2 vòng; điểm ưu tiên; tập sự; bổ nhiệm CDNN, xếp lương",Vòng 1 – Kiến thức chung,Chung (mọi vị trí),🔥 Rất cao
Luật Viên chức 129/2025/QH15,Chưa học,"Quyền, nghĩa vụ; việc không được làm; hợp đồng làm việc; đánh giá; kỷ luật",Vòng 1 – Kiến thức chung,Chung (mọi vị trí),🔥 Rất cao
Nghị định 232/2026/NĐ-CP – Vị trí việc làm viên chức,Chưa học,Phân loại vị trí việc làm; bản mô tả công việc; khung năng lực,Vòng 1 – Kiến thức chung,Chung (mọi vị trí),Cao
Luật Di sản văn hóa 45/2024/QH15,Chưa học,"Bảo vệ, phát huy giá trị di sản; thẩm quyền quản lý ở cơ sở",Vòng 2 – Chuyên ngành,Văn hóa – du lịch,Cao
Luật Thư viện 46/2019/QH14,Chưa học,Hoạt động thư viện; thư viện công cộng; quyền và nghĩa vụ,Vòng 2 – Chuyên ngành,Văn hóa – du lịch,Cao
Luật Du lịch 09/2017/QH14,Chưa học,Tài nguyên du lịch; kinh doanh du lịch; quản lý nhà nước,Vòng 2 – Chuyên ngành,Văn hóa – du lịch,Cao
"Thông tư 10/2023/TT-BVHTTDL – Vị trí việc làm viên chức ngành văn hóa, thể thao và du lịch",Chưa học,"Vị trí việc làm, chức danh nghề nghiệp ngành VH-TT-DL",Vòng 2 – Chuyên ngành,"Thể dục – thể thao, Văn hóa – du lịch",Vừa
"Luật Thể dục, thể thao 77/2006/QH11",Chưa học,TDTT quần chúng; thể thao thành tích cao; quản lý nhà nước,Vòng 2 – Chuyên ngành,Thể dục – thể thao,Cao
"Luật 43/2024/QH15 – Sửa Luật Đất đai, Nhà ở, Kinh doanh BĐS, Các TCTD",Chưa học,Điểm sửa đổi và hiệu lực của các luật liên quan,Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Vừa
"Luật 26/2018/QH14 – Sửa đổi, bổ sung Luật Thể dục, thể thao",Chưa học,Các điểm sửa đổi so với luật 2006,Vòng 2 – Chuyên ngành,Thể dục – thể thao,Vừa
Luật Đất đai 31/2024/QH15,Chưa học,"Giao, cho thuê đất; đăng ký, cấp GCN; thẩm quyền cấp xã",Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Cao
Nghị định 102/2024/NĐ-CP – Quy định chi tiết thi hành Luật Đất đai,Chưa học,Quy định chi tiết thi hành Luật Đất đai,Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Vừa
Luật Bảo vệ môi trường 72/2020/QH14,Chưa học,Giấy phép môi trường; quản lý chất thải; trách nhiệm cấp xã,Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Cao
Luật 146/2025/QH15 – Sửa đổi 15 luật lĩnh vực nông nghiệp và môi trường,Chưa học,Các điểm sửa đổi liên quan môi trường,Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Vừa
Nghị định 08/2022/NĐ-CP (sửa bởi NĐ 05/2025 & NĐ 48/2026) – Chi tiết Luật BVMT,Chưa học,Học theo nội dung đã cập nhật sửa đổi mới nhất,Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Vừa
Nghị định 45/2022/NĐ-CP – Xử phạt VPHC về bảo vệ môi trường,Chưa học,Hành vi vi phạm; mức phạt; thẩm quyền xử phạt,Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Vừa
Luật Xây dựng 135/2025/QH15,Chưa học,Giấy phép xây dựng; quản lý trật tự xây dựng; thẩm quyền địa phương,Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Cao
Luật Quy hoạch đô thị và nông thôn 47/2024/QH15,Chưa học,"Lập, thẩm định, phê duyệt quy hoạch; quản lý theo quy hoạch",Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Cao
Luật 144/2025/QH15 – Sửa Luật Quy hoạch đô thị và nông thôn,Chưa học,Các điểm sửa đổi mới,Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Vừa
Luật Giao dịch điện tử 20/2023/QH15,Chưa học,Thông điệp dữ liệu; chữ ký điện tử; dịch vụ tin cậy,Vòng 2 – Chuyên ngành,Thông tin – truyền thông – CĐS,Cao
Luật Báo chí 126/2025/QH15,Chưa học,Hoạt động báo chí; thông tin cơ sở; quản lý nhà nước,Vòng 2 – Chuyên ngành,Thông tin – truyền thông – CĐS,Cao
Luật Công nghệ thông tin 67/2006/QH11,Chưa học,Ứng dụng CNTT trong cơ quan nhà nước,Vòng 2 – Chuyên ngành,Thông tin – truyền thông – CĐS,Vừa
Thông tư 10/2023/TT-BXD – Vị trí việc làm viên chức ngành xây dựng,Chưa học,"Vị trí việc làm, chức danh nghề nghiệp ngành xây dựng",Vòng 2 – Chuyên ngành,Tài nguyên – môi trường – đô thị,Vừa
Luật An ninh mạng 116/2025/QH15,Chưa học,"Bảo vệ an ninh mạng; trách nhiệm của cơ quan, tổ chức",Vòng 2 – Chuyên ngành,Thông tin – truyền thông – CĐS,Cao
Luật Chuyển đổi số 148/2025/QH15,Chưa học,Chính quyền số; dữ liệu số; dịch vụ công trực tuyến,Vòng 2 – Chuyên ngành,Thông tin – truyền thông – CĐS,Cao
VBHN 02/VBHN-BTTTT (05/4/2024) – Vị trí việc làm viên chức ngành thông tin và truyền thông,Chưa học,"Vị trí việc làm, chức danh nghề nghiệp ngành TT&TT",Vòng 2 – Chuyên ngành,Thông tin – truyền thông – CĐS,Vừa
Luật Đầu tư công 58/2024/QH15,Chưa học,"Chương trình, dự án; lập kế hoạch; thẩm quyền quyết định",Vòng 2 – Chuyên ngành,Kế hoạch – đầu tư,Cao
"Luật 90/2025/QH15 – Sửa 8 luật (Đấu thầu, PPP, Hải quan, Thuế, Đầu tư, Đầu tư công, TSC)",Chưa học,"Điểm sửa đổi các luật đầu tư, đấu thầu, tài sản công",Vòng 2 – Chuyên ngành,Kế hoạch – đầu tư,Vừa
Nghị định 85/2025/NĐ-CP – Quy định chi tiết thi hành Luật Đầu tư công,Chưa học,Chi tiết thi hành Luật Đầu tư công,Vòng 2 – Chuyên ngành,Kế hoạch – đầu tư,Vừa
Nghị định 275/2025/NĐ-CP – Sửa đổi Nghị định 85/2025/NĐ-CP,Chưa học,Các điểm sửa đổi NĐ 85/2025,Vòng 2 – Chuyên ngành,Kế hoạch – đầu tư,Vừa
Luật Đấu thầu 22/2023/QH15,Chưa học,Hình thức lựa chọn nhà thầu; quy trình; hành vi bị cấm,Vòng 2 – Chuyên ngành,Kế hoạch – đầu tư,Cao
"Luật 57/2024/QH15 – Sửa Luật Quy hoạch, Đầu tư, PPP, Đấu thầu",Chưa học,Điểm sửa đổi 4 luật,Vòng 2 – Chuyên ngành,Kế hoạch – đầu tư,Vừa
Luật Kế toán 88/2015/QH13,Chưa học,"Chứng từ, sổ kế toán, BCTC; hành vi bị cấm",Vòng 2 – Chuyên ngành,Kế toán,Cao
"Luật Quản lý, sử dụng tài sản công 15/2017/QH14",Chưa học,"Quản lý, sử dụng tài sản công tại đơn vị sự nghiệp",Vòng 2 – Chuyên ngành,Kế hoạch – đầu tư,Cao
Nghị định 174/2016/NĐ-CP – Quy định chi tiết Luật Kế toán,Chưa học,Quy định chi tiết một số điều Luật Kế toán,Vòng 2 – Chuyên ngành,Kế toán,Vừa
Nghị định 214/2025/NĐ-CP – Quy định chi tiết về lựa chọn nhà thầu,Chưa học,Chi tiết Luật Đấu thầu về lựa chọn nhà thầu,Vòng 2 – Chuyên ngành,Kế hoạch – đầu tư,Vừa
"Luật 56/2024/QH15 – Sửa 9 luật (Chứng khoán, Kế toán, NSNN, Tài sản công...)",Chưa học,"Điểm sửa Luật Kế toán, NSNN, quản lý tài sản công",Vòng 2 – Chuyên ngành,"Kế hoạch – đầu tư, Kế toán",Vừa
"Thông tư 24/2024/TT-BTC – Chế độ kế toán hành chính, sự nghiệp (sửa bởi TT 46/2025/TT-BTC)",Chưa học,"Tài khoản, chứng từ, sổ sách, BCTC đơn vị HCSN – cốt lõi của vị trí",Vòng 2 – Chuyên ngành,Kế toán,🔥 Rất cao
Thông tư 108/2025/TT-BTC – Báo cáo tài chính hợp nhất đơn vị kế toán HCSN,Chưa học,Lập báo cáo tài chính hợp nhất,Vòng 2 – Chuyên ngành,Kế toán,Vừa
